"RELATIONSHIP_ID","FROM_VOCABULARY_ID","FROM_DOMAIN_ID","FROM_STANDARD_CONCEPT","TO_VOCABULARY_ID","TO_DOMAIN_ID","TO_STANDARD_CONCEPT","RELATIONSHIP_COUNT"
"Active ing of","SNOMED","Drug",NA,"SNOMED","Device",NA,1
"Active ing of","SNOMED","Drug",NA,"SNOMED","Drug",NA,56508
"Active ing of","SNOMED","Drug",NA,"SNOMED","Observation",NA,14
"Active ing of","SNOMED","Observation","S","SNOMED","Device","S",54
"Active ing of","SNOMED","Observation","S","SNOMED","Device",NA,2
"Active ing of","SNOMED","Observation","S","SNOMED","Drug",NA,11371
"Active ing of","SNOMED","Observation","S","SNOMED","Observation",NA,117
"Active ing of","SNOMED","Observation",NA,"SNOMED","Drug",NA,396
"Active ing of","SNOMED","Observation",NA,"SNOMED","Observation",NA,8
"Add monitor ind of","SNOMED","Drug",NA,"SNOMED","Drug",NA,1506
"Admin method of","SNOMED","Observation","S","SNOMED","Drug",NA,10
"Admin method of","SNOMED","Observation","S","SNOMED","Observation","S",295
"Answer of","LOINC","Meas Value","S","LOINC","Measurement","S",31154
"Answer of","LOINC","Meas Value","S","LOINC","Measurement",NA,704
"Answer of","LOINC","Meas Value","S","LOINC","Observation","S",55656
"Answer of","LOINC","Meas Value","S","LOINC","Observation",NA,2043
"Answer of","NAACCR","Drug",NA,"NAACCR","Episode",NA,5
"Answer of","NAACCR","Meas Value","S","NAACCR","Measurement","S",22700
"Answer of","NAACCR","Meas Value","S","NAACCR","Measurement",NA,102
"Answer of","NAACCR","Meas Value","S","NAACCR","Observation","S",5
"Answer of","NAACCR","Meas Value","S","NAACCR","Observation",NA,1245
"Answer of","NAACCR","Meas Value",NA,"NAACCR","Measurement","S",6694
"Answer of","NAACCR","Meas Value",NA,"NAACCR","Measurement",NA,9
"Answer of","NAACCR","Meas Value",NA,"NAACCR","Observation","S",2
"Answer of","NAACCR","Meas Value",NA,"NAACCR","Observation",NA,238
"Answer of","NAACCR","Observation","S","NAACCR","Episode",NA,93
"Answer of","NAACCR","Observation","S","NAACCR","Observation",NA,57
"Answer of","NAACCR","Observation",NA,"NAACCR","Episode",NA,1
"Answer of","NAACCR","Procedure","S","NAACCR","Episode",NA,678
"Answer of","NAACCR","Procedure","S","NAACCR","Observation",NA,622
"Answer of","UK Biobank","Observation","S","UK Biobank","Observation","S",5769
"Answer of","UK Biobank","Observation","S","UK Biobank","Observation",NA,2
"Answer of","UK Biobank","Observation",NA,"UK Biobank","Observation","S",820
"Answer of","UK Biobank","Observation",NA,"UK Biobank","Observation",NA,171
"Antineoplastic of","HemOnc","Drug","C","HemOnc","Regimen","S",24
"Antineoplastic of","HemOnc","Drug",NA,"HemOnc","Procedure",NA,4
"Antineoplastic of","HemOnc","Drug",NA,"HemOnc","Regimen","S",4508
"Antineoplastic of","HemOnc","Procedure",NA,"HemOnc","Procedure",NA,1
"Antineoplastic of","HemOnc","Procedure",NA,"HemOnc","Regimen","S",13
"Asso finding of","SNOMED","Condition","S","SNOMED","Condition","S",8
"Asso finding of","SNOMED","Condition","S","SNOMED","Observation","S",2785
"Asso finding of","SNOMED","Condition","S","SNOMED","Observation",NA,636
"Asso finding of","SNOMED","Condition",NA,"SNOMED","Condition",NA,2
"Asso finding of","SNOMED","Condition",NA,"SNOMED","Observation","S",44
"Asso finding of","SNOMED","Condition",NA,"SNOMED","Observation",NA,21
"Asso finding of","SNOMED","Observation","S","SNOMED","Observation","S",199
"Asso finding of","SNOMED","Observation","S","SNOMED","Observation",NA,47
"Asso finding of","SNOMED","Observation",NA,"SNOMED","Observation","S",3
"Asso finding of","SNOMED","Observation",NA,"SNOMED","Observation",NA,4
"Asso morph of","SNOMED","Observation","S","ICDO3","Condition","S",89105
"Asso morph of","SNOMED","Observation","S","SNOMED","Condition","S",64396
"Asso morph of","SNOMED","Observation","S","SNOMED","Condition",NA,2096
"Asso morph of","SNOMED","Observation","S","SNOMED","Observation","S",65
"Asso morph of","SNOMED","Observation","S","SNOMED","Procedure",NA,2
"Asso morph of","SNOMED","Observation",NA,"ICDO3","Condition","S",11
"Asso morph of","SNOMED","Observation",NA,"SNOMED","Condition","S",8320
"Asso morph of","SNOMED","Observation",NA,"SNOMED","Condition",NA,339
"Asso morph of","SNOMED","Observation",NA,"SNOMED","Observation","S",38
"Asso morph of","SNOMED","Spec Anatomic Site","S","SNOMED","Condition","S",161
"Asso morph of","SNOMED","Spec Anatomic Site","S","SNOMED","Condition",NA,1
"Asso morph of","SNOMED","Spec Anatomic Site",NA,"SNOMED","Condition",NA,1
"Asso proc of","SNOMED","Measurement","S","SNOMED","Observation","S",119
"Asso proc of","SNOMED","Measurement","S","SNOMED","Observation",NA,7
"Asso proc of","SNOMED","Measurement",NA,"SNOMED","Observation","S",10
"Asso proc of","SNOMED","Observation","S","SNOMED","Observation","S",231
"Asso proc of","SNOMED","Observation","S","SNOMED","Observation",NA,8
"Asso proc of","SNOMED","Observation",NA,"SNOMED","Observation",NA,1
"Asso proc of","SNOMED","Procedure","S","SNOMED","Observation","S",2879
"Asso proc of","SNOMED","Procedure","S","SNOMED","Observation",NA,213
"Asso proc of","SNOMED","Procedure",NA,"SNOMED","Observation","S",44
"Asso proc of","SNOMED","Procedure",NA,"SNOMED","Observation",NA,20
"Asso proc of","SNOMED","Procedure",NA,"SNOMED","Procedure",NA,1
"Asso with finding","SNOMED","Condition","S","SNOMED","Condition","S",927
"Asso with finding","SNOMED","Condition","S","SNOMED","Condition",NA,89
"Asso with finding","SNOMED","Condition","S","SNOMED","Observation","S",7
"Asso with finding","SNOMED","Condition","S","SNOMED","Observation",NA,1
"Asso with finding","SNOMED","Condition",NA,"SNOMED","Condition","S",11
"Asso with finding","SNOMED","Condition",NA,"SNOMED","Condition",NA,2
"Asso with finding","SNOMED","Device","S","SNOMED","Condition","S",602
"Asso with finding","SNOMED","Device","S","SNOMED","Condition",NA,7
"Asso with finding","SNOMED","Device","S","SNOMED","Observation","S",18
"Asso with finding","SNOMED","Device",NA,"SNOMED","Condition","S",8
"Asso with finding","SNOMED","Device",NA,"SNOMED","Observation","S",1
"Asso with finding","SNOMED","Drug",NA,"SNOMED","Condition","S",107
"Asso with finding","SNOMED","Drug",NA,"SNOMED","Condition",NA,6
"Asso with finding","SNOMED","Drug",NA,"SNOMED","Observation","S",14
"Asso with finding","SNOMED","Measurement","S","SNOMED","Condition","S",2
"Asso with finding","SNOMED","Observation","S","SNOMED","Condition","S",19
"Asso with finding","SNOMED","Observation","S","SNOMED","Condition",NA,46
"Asso with finding","SNOMED","Observation","S","SNOMED","Observation","S",78
"Asso with finding","SNOMED","Observation","S","SNOMED","Observation",NA,22
"Asso with finding","SNOMED","Observation",NA,"SNOMED","Condition","S",1
"Asso with finding","SNOMED","Observation",NA,"SNOMED","Observation","S",1
"Asso with finding","SNOMED","Observation",NA,"SNOMED","Observation",NA,1
"Asso with finding","SNOMED","Procedure","S","SNOMED","Condition","S",218
"Asso with finding","SNOMED","Procedure","S","SNOMED","Condition",NA,26
"Asso with finding","SNOMED","Procedure","S","SNOMED","Observation","S",6
"Asso with finding","SNOMED","Procedure","S","SNOMED","Observation",NA,2
"Asso with finding","SNOMED","Procedure",NA,"SNOMED","Condition","S",2
"Available as box","RxNorm","Drug","S","RxNorm Extension","Drug","S",45100
"Available as box","RxNorm","Drug","S","RxNorm Extension","Drug",NA,49
"Available as box","RxNorm","Drug",NA,"RxNorm Extension","Drug","S",918
"Available as box","RxNorm","Drug",NA,"RxNorm Extension","Drug",NA,2
"Available as box","RxNorm Extension","Drug","S","RxNorm Extension","Drug","S",425799
"Available as box","RxNorm Extension","Drug","S","RxNorm Extension","Drug",NA,70
"Available as box","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug","S",1863
"Available as box","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug",NA,13418
"Basic dose form of","SNOMED","Drug",NA,"SNOMED","Drug",NA,2
"Basic dose form of","SNOMED","Observation","S","SNOMED","Drug",NA,8
"Basic dose form of","SNOMED","Observation","S","SNOMED","Observation","S",274
"Basis str subst of","SNOMED","Device","S","SNOMED","Drug",NA,170
"Basis str subst of","SNOMED","Device","S","SNOMED","Observation",NA,1
"Basis str subst of","SNOMED","Drug",NA,"SNOMED","Device","S",48
"Basis str subst of","SNOMED","Drug",NA,"SNOMED","Device",NA,2
"Basis str subst of","SNOMED","Drug",NA,"SNOMED","Drug",NA,36892
"Basis str subst of","SNOMED","Drug",NA,"SNOMED","Observation","S",2
"Basis str subst of","SNOMED","Drug",NA,"SNOMED","Observation",NA,1
"Basis str subst of","SNOMED","Observation","S","SNOMED","Device","S",160
"Basis str subst of","SNOMED","Observation","S","SNOMED","Device",NA,5
"Basis str subst of","SNOMED","Observation","S","SNOMED","Drug",NA,2668
"Basis str subst of","SNOMED","Observation","S","SNOMED","Observation","S",2
"Basis str subst of","SNOMED","Observation","S","SNOMED","Observation",NA,1
"Basis str subst of","SNOMED","Observation",NA,"SNOMED","Drug",NA,190
"Basis str subst of","SNOMED","Observation",NA,"SNOMED","Observation","S",2
"Box of","RxNorm Extension","Drug","S","RxNorm","Drug","S",45100
"Box of","RxNorm Extension","Drug","S","RxNorm","Drug",NA,918
"Box of","RxNorm Extension","Drug","S","RxNorm Extension","Drug","S",425799
"Box of","RxNorm Extension","Drug","S","RxNorm Extension","Drug",NA,1863
"Box of","RxNorm Extension","Drug",NA,"RxNorm","Drug","S",49
"Box of","RxNorm Extension","Drug",NA,"RxNorm","Drug",NA,2
"Box of","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug","S",70
"Box of","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug",NA,13418
"Brand name of","HemOnc","Drug",NA,"HemOnc","Drug",NA,4074
"Brand name of","RxNorm","Drug",NA,"RxNorm","Drug","C",20303
"Brand name of","RxNorm","Drug",NA,"RxNorm","Drug","S",78772
"Brand name of","RxNorm","Drug",NA,"RxNorm","Drug",NA,14304
"Brand name of","RxNorm","Drug",NA,"RxNorm Extension","Drug","S",146454
"Brand name of","RxNorm","Drug",NA,"RxNorm Extension","Drug",NA,7164
"Brand name of","RxNorm Extension","Drug",NA,"RxNorm","Drug","S",121617
"Brand name of","RxNorm Extension","Drug",NA,"RxNorm","Drug",NA,451
"Brand name of","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug","S",1008224
"Brand name of","RxNorm Extension","Drug",NA,"RxNorm Extension","Drug",NA,15165
"CD category of","SNOMED","Drug",NA,"SNOMED","Device","S",180401
"CD category of","SNOMED","Drug",NA,"SNOMED","Device",NA,6
"CD category of","SNOMED","Drug",NA,"SNOMED","Drug",NA,156314
"CD category of","SNOMED","Drug",NA,"SNOMED","Observation","S",16
"CD category of","SNOMED","Drug",NA,"SNOMED","Observation",NA,3
"CPT4 - LOINC eq","CPT4","Measurement","S","LOINC","Measurement","S",1881
"CPT4 - LOINC eq","CPT4","Measurement","S","LOINC","Measurement",NA,133
"CPT4 - LOINC eq","CPT4","Procedure","S","LOINC","Measurement","S",5
"CPT4 - SNOMED cat","CPT4","Device","S","SNOMED","Procedure","S",3
"CPT4 - SNOMED cat","CPT4","Drug","S","SNOMED","Procedure","S",1
"CPT4 - SNOMED cat","CPT4","Drug",NA,"SNOMED","Observation","S",6
"CPT4 - SNOMED cat","CPT4","Drug",NA,"SNOMED","Procedure","S",177
"CPT4 - SNOMED cat","CPT4","Drug",NA,"SNOMED","Procedure",NA,5
"CPT4 - SNOMED cat","CPT4","Measurement","S","SNOMED","Measurement","S",918
"CPT4 - SNOMED cat","CPT4","Measurement","S","SNOMED","Measurement",NA,20
"CPT4 - SNOMED cat","CPT4","Measurement","S","SNOMED","Observation","S",16
"CPT4 - SNOMED cat","CPT4","Measurement","S","SNOMED","Procedure","S",207
"CPT4 - SNOMED cat","CPT4","Measurement","S","SNOMED","Procedure",NA,16
"CPT4 - SNOMED cat","CPT4","Observation","S","SNOMED","Measurement","S",69
"CPT4 - SNOMED cat","CPT4","Observation","S","SNOMED","Measurement",NA,1
"CPT4 - SNOMED cat","CPT4","Observation","S","SNOMED","Observation","S",322
"CPT4 - SNOMED cat","CPT4","Observation","S","SNOMED","Observation",NA,4
"CPT4 - SNOMED cat","CPT4","Observation","S","SNOMED","Procedure","S",558
"CPT4 - SNOMED cat","CPT4","Observation","S","SNOMED","Procedure",NA,35
"CPT4 - SNOMED cat","CPT4","Procedure","S","SNOMED","Measurement","S",168
"CPT4 - SNOMED cat","CPT4","Procedure","S","SNOMED","Measurement",NA,1
"CPT4 - SNOMED cat","CPT4","Procedure","S","SNOMED","Observation","S",592
"CPT4 - SNOMED cat","CPT4","Procedure","S","SNOMED","Observation",NA,51
"CPT4 - SNOMED cat","CPT4","Procedure","S","SNOMED","Procedure","S",13100
"CPT4 - SNOMED cat","CPT4","Procedure","S","SNOMED","Procedure",NA,401
"CPT4 - SNOMED eq","CPT4","Device","S","SNOMED","Procedure","S",1
"CPT4 - SNOMED eq","CPT4","Drug","S","SNOMED","Procedure","S",1
"CPT4 - SNOMED eq","CPT4","Drug",NA,"SNOMED","Observation","S",6
"CPT4 - SNOMED eq","CPT4","Drug",NA,"SNOMED","Procedure","S",182
"CPT4 - SNOMED eq","CPT4","Drug",NA,"SNOMED","Procedure",NA,5
"CPT4 - SNOMED eq","CPT4","Measurement","S","SNOMED","Measurement","S",1495
"CPT4 - SNOMED eq","CPT4","Measurement","S","SNOMED","Measurement",NA,26
"CPT4 - SNOMED eq","CPT4","Measurement","S","SNOMED","Observation","S",17
"CPT4 - SNOMED eq","CPT4","Measurement","S","SNOMED","Procedure","S",246
"CPT4 - SNOMED eq","CPT4","Measurement","S","SNOMED","Procedure",NA,14
"CPT4 - SNOMED eq","CPT4","Observation","S","SNOMED","Measurement","S",94
"CPT4 - SNOMED eq","CPT4","Observation","S","SNOMED","Measurement",NA,1
"CPT4 - SNOMED eq","CPT4","Observation","S","SNOMED","Observation","S",313
"CPT4 - SNOMED eq","CPT4","Observation","S","SNOMED","Observation",NA,4
"CPT4 - SNOMED eq","CPT4","Observation","S","SNOMED","Procedure","S",561
"CPT4 - SNOMED eq","CPT4","Observation","S","SNOMED","Procedure",NA,33
"CPT4 - SNOMED eq","CPT4","Procedure","S","SNOMED","Device","S",1
"CPT4 - SNOMED eq","CPT4","Procedure","S","SNOMED","Measurement","S",182
"CPT4 - SNOMED eq","CPT4","Procedure","S","SNOMED","Measurement",NA,1
"CPT4 - SNOMED eq","CPT4","Procedure","S","SNOMED","Observation","S",575
"CPT4 - SNOMED eq","CPT4","Procedure","S","SNOMED","Observation",NA,39
"CPT4 - SNOMED eq","CPT4","Procedure","S","SNOMED","Procedure","S",12248
"CPT4 - SNOMED eq","CPT4","Procedure","S","SNOMED","Procedure",NA,266
"Category in Chapter","NCIt","Measurement","S","NCIt","Measurement","S",1816
"Causative agent of","SNOMED","Device","S","SNOMED","Condition","S",279
"Causative agent of","SNOMED","Device","S","SNOMED","Condition",NA,17
"Causative agent of","SNOMED","Device","S","SNOMED","Observation","S",68
"Causative agent of","SNOMED","Device","S","SNOMED","Observation",NA,5
"Causative agent of","SNOMED","Device",NA,"SNOMED","Observation","S",2
"Causative agent of","SNOMED","Drug",NA,"SNOMED","Condition","S",5734
"Causative agent of","SNOMED","Drug",NA,"SNOMED","Condition",NA,525
"Causative agent of","SNOMED","Drug",NA,"SNOMED","Observation","S",3172
"Causative agent of","SNOMED","Drug",NA,"SNOMED","Observation",NA,389
"Causative agent of","SNOMED","Observation","S","SNOMED","Condition","S",9511
"Causative agent of","SNOMED","Observation","S","SNOMED","Condition",NA,866
"Causative agent of","SNOMED","Observation","S","SNOMED","Observation","S",640
"Causative agent of","SNOMED","Observation","S","SNOMED","Observation",NA,61
"Causative agent of","SNOMED","Observation",NA,"SNOMED","Condition","S",277
"Causative agent of","SNOMED","Observation",NA,"SNOMED","Condition",NA,51
"Causative agent of","SNOMED","Observation",NA,"SNOMED","Observation","S",29
"Causative agent of","SNOMED","Observation",NA,"SNOMED","Observation",NA,5
"Chapter has Category","NCIt","Measurement","S","NCIt","Measurement","S",1816
"Chapter to ICDO","NCIt","Measurement","S","ICDO3","Condition","S",12741
"Chapter to ICDO","NCIt","Measurement","S","ICDO3","Condition",NA,505
"Characterizes","SNOMED","Measurement","S","SNOMED","Observation","S",150
"Characterizes","SNOMED","Observation","S","SNOMED","Measurement","S",34
"Characterizes","SNOMED","Observation","S","SNOMED","Observation","S",179
"Characterizes","SNOMED","Observation","S","SNOMED","Procedure","S",6
"Clinical course of","SNOMED","Observation","S","SNOMED","Condition","S",4643
"Clinical course of","SNOMED","Observation","S","SNOMED","Condition",NA,178
"Clinical course of","SNOMED","Observation","S","SNOMED","Measurement","S",2
"Clinical course of","SNOMED","Observation","S","SNOMED","Observation","S",15
"Combi prod ind of","SNOMED","Drug",NA,"SNOMED","Device","S",119
"Combi prod ind of","SNOMED","Drug",NA,"SNOMED","Drug",NA,299
"Combi prod ind of","SNOMED","Drug",NA,"SNOMED","Observation","S",3
"Component of","LOINC","Observation",NA,"LOINC","Measurement","S",70934
"Component of","LOINC","Observation",NA,"LOINC","Measurement",NA,22
"Component of","LOINC","Observation",NA,"LOINC","Observation","S",17474
"Component of","RxNorm","Drug","S","RxNorm","Drug","S",1
"Component of","SNOMED","Device","S","SNOMED","Measurement","S",26
"Component of","SNOMED","Drug",NA,"SNOMED","Measurement","S",2461
"Component of","SNOMED","Drug",NA,"SNOMED","Measurement",NA,34
"Component of","SNOMED","Drug",NA,"SNOMED","Procedure","S",15
"Component of","SNOMED","Observation","S","ICD9Proc","Procedure","S",43
"Component of","SNOMED","Observation","S","ICD9Proc","Procedure",NA,2
"Component of","SNOMED","Observation","S","SNOMED","Measurement","S",7688
"Component of","SNOMED","Observation","S","SNOMED","Measurement",NA,65
"Component of","SNOMED","Observation","S","SNOMED","Observation","S",10
"Component of","SNOMED","Observation","S","SNOMED","Procedure","S",35
"Component of","SNOMED","Observation","S","SNOMED","Procedure",NA,3
"Component of","SNOMED","Observation",NA,"SNOMED","Measurement","S",176
"Component of","SNOMED","Observation",NA,"SNOMED","Measurement",NA,15
"Component of","SNOMED","Observation",NA,"SNOMED","Procedure",NA,2
"Component of","SNOMED","Spec Anatomic Site","S","SNOMED","Measurement","S",225
"Component of","SNOMED","Spec Anatomic Site","S","SNOMED","Measurement",NA,1
"Component of","SNOMED","Spec Anatomic Site","S","SNOMED","Procedure","S",4
"Component of","SNOMED","Spec Anatomic Site",NA,"SNOMED","Measurement","S",3
"Conc denom unit of","SNOMED","Unit",NA,"SNOMED","Drug",NA,2716
"Conc denom val of","SNOMED","Observation","S","SNOMED","Drug",NA,2716
"Conc num unit of","SNOMED","Unit",NA,"SNOMED","Drug",NA,2782
"Conc num val of","SNOMED","Observation","S","SNOMED","Drug",NA,2997
"Concept alt_to from","SNOMED","Condition","S","SNOMED","Condition",NA,5
"Concept alt_to from","SNOMED","Condition","S","SNOMED","Observation",NA,145
"Concept alt_to from","SNOMED","Condition",NA,"SNOMED","Observation",NA,6
"Concept alt_to from","SNOMED","Observation","S","SNOMED","Condition",NA,1
"Concept alt_to from","SNOMED","Observation","S","SNOMED","Observation",NA,5
"Concept alt_to to","SNOMED","Condition",NA,"SNOMED","Condition","S",5
"Concept alt_to to","SNOMED","Condition",NA,"SNOMED","Observation","S",1
"Concept alt_to to","SNOMED","Observation",NA,"SNOMED","Condition","S",145
"Concept alt_to to","SNOMED","Observation",NA,"SNOMED","Condition",NA,6
"Concept alt_to to","SNOMED","Observation",NA,"SNOMED","Observation","S",5
"Concept poss_eq from","SNOMED","Condition","S","SNOMED","Condition",NA,9186
"Concept poss_eq from","SNOMED","Condition","S","SNOMED","Device",NA,2
"Concept poss_eq from","SNOMED","Condition","S","SNOMED","Measurement",NA,2
"Concept poss_eq from","SNOMED","Condition","S","SNOMED","Metadata",NA,19
"Concept poss_eq from","SNOMED","Condition","S","SNOMED","Observation",NA,781
"Concept poss_eq from","SNOMED","Condition","S","SNOMED","Procedure",NA,97
"Concept poss_eq from","SNOMED","Condition",NA,"SNOMED","Condition",NA,199
"Concept poss_eq from","SNOMED","Condition",NA,"SNOMED","Observation",NA,28
"Concept poss_eq from","SNOMED","Condition",NA,"SNOMED","Procedure",NA,1
"Concept poss_eq from","SNOMED","Device","S","SNOMED","Condition",NA,7
"Concept poss_eq from","SNOMED","Device","S","SNOMED","Device",NA,210
"Concept poss_eq from","SNOMED","Device","S","SNOMED","Drug",NA,63
"Concept poss_eq from","SNOMED","Device","S","SNOMED","Observation",NA,67
"Concept poss_eq from","SNOMED","Device","S","SNOMED","Procedure",NA,20
"Concept poss_eq from","SNOMED","Device",NA,"SNOMED","Procedure",NA,1
"Concept poss_eq from","SNOMED","Drug",NA,"SNOMED","Condition",NA,9
"Concept poss_eq from","SNOMED","Drug",NA,"SNOMED","Device",NA,2
"Concept poss_eq from","SNOMED","Drug",NA,"SNOMED","Drug",NA,3123
"Concept poss_eq from","SNOMED","Drug",NA,"SNOMED","Observation",NA,900
"Concept poss_eq from","SNOMED","Drug",NA,"SNOMED","Procedure",NA,18
"Concept poss_eq from","SNOMED","Gender",NA,"SNOMED","Condition",NA,1
"Concept poss_eq from","SNOMED","Meas Value","S","SNOMED","Observation",NA,6
"Concept poss_eq from","SNOMED","Measurement","S","SNOMED","Condition",NA,23
"Concept poss_eq from","SNOMED","Measurement","S","SNOMED","Measurement",NA,51
"Concept poss_eq from","SNOMED","Measurement","S","SNOMED","Observation",NA,93
"Concept poss_eq from","SNOMED","Measurement","S","SNOMED","Procedure",NA,533
"Concept poss_eq from","SNOMED","Measurement",NA,"SNOMED","Observation",NA,1
"Concept poss_eq from","SNOMED","Measurement",NA,"SNOMED","Procedure",NA,8
"Concept poss_eq from","SNOMED","Metadata",NA,"SNOMED","Condition",NA,32
"Concept poss_eq from","SNOMED","Metadata",NA,"SNOMED","Device",NA,2
"Concept poss_eq from","SNOMED","Metadata",NA,"SNOMED","Observation",NA,45
"Concept poss_eq from","SNOMED","Metadata",NA,"SNOMED","Procedure",NA,1
"Concept poss_eq from","SNOMED","Observation","S","SNOMED","Condition",NA,866
"Concept poss_eq from","SNOMED","Observation","S","SNOMED","Device",NA,17
"Concept poss_eq from","SNOMED","Observation","S","SNOMED","Drug",NA,61
"Concept poss_eq from","SNOMED","Observation","S","SNOMED","Measurement",NA,4
"Concept poss_eq from","SNOMED","Observation","S","SNOMED","Metadata",NA,3
"Concept poss_eq from","SNOMED","Observation","S","SNOMED","Observation",NA,5202
"Concept poss_eq from","SNOMED","Observation","S","SNOMED","Procedure",NA,272
"Concept poss_eq from","SNOMED","Observation","S","SNOMED","Route",NA,2
"Concept poss_eq from","SNOMED","Observation","S","SNOMED","Spec Anatomic Site",NA,7
